epoch,g_loss,d_loss,n_images
1,10.151199132424814,0.8749479832748572,17241
2,7.125040358084219,0.7670098999032268,17241
3,5.90812996228536,0.7429095060737044,17241
4,6.1261212242974175,0.674821979911239,17241
5,6.208916196116695,0.6530864349117985,17241
6,6.26253165492305,0.6654566750482277,17241
7,6.205894765147456,0.5735663176686675,17241
8,6.035693302860967,0.47759991266109325,17241
9,6.504630343119303,0.4942059467236201,17241
10,6.529315973211218,0.4591406039065785,17241
11,6.5288158999549015,0.3878727780448066,17241
12,6.927301122524121,0.5305487546103972,17241
13,6.422245899836223,0.3613197335490474,17241
14,6.8647280993285005,0.37533343151487686,17241
15,6.764589881896972,0.3433459267848068,17241
16,6.729981307630186,0.3773963150050905,17241
17,6.6466062757704,0.49795948956851604,17241
18,5.968443222399111,0.38827522410838694,17241
19,6.549623568411227,0.48594967789120147,17241
20,5.630731663880525,0.3863833059867223,17241
21,5.967363129721748,0.4693645364708371,17241
22,5.465556178269563,0.37008837191043076,17241
23,5.68384712183917,0.41354668030032404,17241
24,5.607906145519681,0.4054523884698197,17241
25,5.713774141338137,0.5194299321483683,17241
26,5.4700546467745745,0.4287032628500903,17241
27,5.3565293276751484,0.41121297026122056,17241
28,5.433108212329723,0.42681988069304716,17241
29,5.299205054177178,0.5126348876290852,17241
30,4.919181652422305,0.3823649627191049,17241
