epoch,g_loss,critic_loss,gradient_penalty,n_images
1,-23.3546408746495,-58.49872171084086,2.6307284215879108,17241
2,-10.73102583664435,-19.92402532365587,0.48577407041081677,17241
3,-2.6668177847233085,-16.25109631926925,0.3503025751422953,17241
4,-1.3226319840936749,-15.210307855959291,0.32652806286458613,17241
5,1.991240910137141,-14.83465084499783,0.3114942764794385,17241
6,2.5566173355888435,-14.205771375585485,0.2907298725512293,17241
7,2.714951288672509,-13.766500374122902,0.27111648310113834,17241
8,2.458283748643266,-13.372354722906042,0.25328137273037876,17241
9,2.7271785306709786,-13.177691396077474,0.24456993479419636,17241
10,2.697180169655217,-12.8538249263057,0.2335037608389501,17241
11,2.6327867124367645,-12.715965747833252,0.2214887593631391,17241
12,2.809796433426716,-12.658056188512731,0.21991829574108124,17241
13,2.8133811032882443,-12.63120464042381,0.21774490668817803,17241
14,2.5104833126068113,-12.378481190292923,0.21071575935240144,17241
15,2.6553519511112462,-12.219271296041983,0.20810487424885785,17241
16,2.5627891069899005,-12.181196898001211,0.20516893653957932,17241
17,2.4375620266905536,-12.093416606055365,0.20228195990677234,17241
18,2.5276949807449625,-12.077535417344835,0.19983133480504708,17241
19,2.377247690602585,-11.943877817083289,0.19715982791450287,17241
20,2.3244869995172377,-11.810815048217773,0.19239175361063746,17241
21,2.4073615801003245,-11.713324444382279,0.1897983036107487,17241
22,2.1487342805774126,-11.619030426166676,0.18715572324064042,17241
23,2.4219654579957326,-11.545342180464003,0.18656842062870663,17241
24,2.217925319213558,-11.528838782840305,0.18542525045297764,17241
25,2.179959617472357,-11.460886375992386,0.18107563891896494,17241
26,2.438764593501886,-11.397956194701019,0.1804596341042607,17241
27,2.035707027727255,-11.339265865749782,0.18011170079310734,17241
28,2.1576073928011787,-11.216290618755199,0.17848357516858313,17241
29,2.0049419932895236,-11.278289847903782,0.1772047388056914,17241
30,1.9902683475779162,-11.122992240058052,0.1728755613444028,17241
